,Цена квартиры,Тип квартиры,Станция метро,Минут до метро,Регион,Кол-во комнат,Площадь,Жилая площадь,Площадь кухни,Этаж,Ремонт
22659,4940286.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,27.35,12.8,4.5,12.0,Косметический
11424,4800000.0,Вторичноё жильё,Селигерская,12.0,Москва,0.0,12.9,8.0,4.0,3.0,Европейский стиль
11423,17950000.0,Вторичноё жильё,Китай-город,6.0,Москва,0.0,29.9,21.0,4.0,1.0,Дизайнерский
11422,19500000.0,Вторичноё жильё,Смоленская,7.0,Москва,0.0,30.1,23.0,4.0,2.0,Дизайнерский
11421,7500000.0,Вторичноё жильё,Прокшино,10.0,Москва,0.0,20.2,6.7,8.3,15.0,Без ремонта
11440,7950000.0,Вторичноё жильё,Аминьевская,21.0,Москва,0.0,27.9,17.3,4.0,1.0,Европейский стиль
11439,10118827.0,Вторичноё жильё,Красный Балтиец,15.0,Москва,0.0,33.9,19.3,9.4,3.0,Европейский стиль
11438,11426600.0,Вторичноё жильё,Преображенская площадь,12.0,Москва,0.0,38.8,21.8,9.8,2.0,Европейский стиль
11437,9061253.0,Вторичноё жильё,Преображенская площадь,12.0,Москва,0.0,21.5,13.0,8.4,4.0,Европейский стиль
11436,11352621.0,Вторичноё жильё,Преображенская площадь,12.0,Москва,0.0,31.5,18.1,9.2,4.0,Европейский стиль
11435,4550000.0,Вторичноё жильё,Пражская,10.0,Москва,0.0,18.0,16.0,2.0,1.0,Без ремонта
11434,6723872.0,Вторичноё жильё,Красный Балтиец,15.0,Москва,0.0,15.6,10.0,7.9,3.0,Европейский стиль
11433,7555500.0,Вторичноё жильё,Аминьевская,18.0,Москва,0.0,21.9,13.2,8.5,6.0,Косметический
11432,8477000.0,Вторичноё жильё,Красный Балтиец,14.0,Москва,0.0,23.3,13.9,8.6,7.0,Без ремонта
11431,18175000.0,Вторичноё жильё,Аэропорт,3.0,Москва,0.0,40.3,35.1,5.0,4.0,Дизайнерский
11430,6548801.0,Вторичноё жильё,Селигерская,27.0,Москва,0.0,20.1,12.3,3.0,2.0,Европейский стиль
22613,4425746.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.69,12.3,5.0,13.0,Косметический
22612,4438210.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.69,12.3,5.0,15.0,Косметический
22610,4450674.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.69,12.3,5.0,17.0,Косметический
22638,4749714.0,Новостройка,Котельники,8.0,Московская область,0.0,31.62,18.1,9.3,4.0,Косметический
22633,4129041.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,2.0,Косметический
22631,4140949.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,3.0,Косметический
22630,4190505.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,8.0,Косметический
22628,4220252.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,11.0,Косметический
22626,4236122.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,13.0,Косметический
22664,4755584.0,Новостройка,Котельники,8.0,Московская область,0.0,31.66,12.9,5.0,4.0,Косметический
22476,4206991.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,11.0,Косметический
22475,4261736.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.38,16.1,8.7,11.0,Косметический
22473,4384990.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.7,16.2,8.8,8.0,Косметический
22472,4462011.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.04,16.1,8.8,8.0,Косметический
22494,3830615.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,2.0,Косметический
22493,3848985.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,2.0,Косметический
22492,3860028.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,3.0,Косметический
22491,3906101.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,8.0,Косметический
22490,3914944.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,11.0,Косметический
22489,3929597.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,13.0,Косметический
22488,3933741.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,11.0,Косметический
22487,3940619.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,15.0,Косметический
22486,3948479.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,13.0,Косметический
22485,3951619.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,17.0,Косметический
22261,4768792.0,Новостройка,Котельники,8.0,Московская область,0.0,31.75,13.0,5.0,4.0,Косметический
22258,4027133.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,4.0,Косметический
22257,4199345.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.02,10.7,3.8,4.0,Косметический
22285,5175834.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,27.32,12.8,4.5,6.0,Косметический
22280,2851776.0,Новостройка,Красногвардейская,14.0,Московская область,0.0,24.01,14.3,8.6,4.0,Косметический
22273,4800000.0,Новостройка,Домодедовская,13.0,Московская область,0.0,26.0,17.0,4.0,7.0,Косметический
22318,6060780.0,Новостройка,Кантемировская,4.0,Москва,0.0,19.8,9.8,5.0,11.0,Косметический
22310,6023160.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,7.0,Косметический
22309,6035040.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,8.0,Косметический
22308,6043630.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.9,9.8,5.0,7.0,Косметический
22307,6084540.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,9.0,Косметический
22331,5196461.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,27.54,16.1,8.9,9.0,Косметический
22480,4116045.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,2.0,Косметический
22479,4169556.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.38,16.1,8.7,2.0,Косметический
22478,4177343.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,8.0,Косметический
22211,5137920.0,Новостройка,Домодедовская,8.0,Московская область,0.0,26.76,15.7,8.9,4.0,Косметический
22210,6090480.0,Новостройка,Кантемировская,4.0,Москва,0.0,19.8,9.8,5.0,21.0,Косметический
22240,4539995.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.38,16.1,8.7,4.0,Косметический
22237,4158967.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,4.0,Косметический
22231,3903064.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,21.31,10.7,3.8,3.0,Косметический
22256,4123999.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.9,11.1,8.5,4.0,Косметический
22254,4515905.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,4.0,Косметический
22252,5429596.0,Новостройка,Жулебино,13.0,Московская область,0.0,27.33,17.1,8.9,3.0,Косметический
22251,4884407.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,26.69,12.8,4.5,10.0,Косметический
22250,4907921.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,26.69,12.8,4.5,12.0,Косметический
22245,4782984.0,Новостройка,Котельники,8.0,Московская область,0.0,31.75,13.0,5.0,4.0,Косметический
22244,3944918.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,21.36,14.6,8.4,4.0,Косметический
22243,4223060.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,22.02,10.7,3.8,4.0,Косметический
22242,4435429.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.38,16.1,8.7,4.0,Косметический
22241,4515880.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,4.0,Косметический
22266,6768480.0,Новостройка,Кантемировская,20.0,Москва,0.0,23.6,11.6,5.9,11.0,Косметический
22142,4950000.0,Новостройка,Котельники,8.0,Московская область,0.0,24.14,13.4,8.6,12.0,Косметический
22135,6139150.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.9,9.8,5.0,19.0,Косметический
22131,5300000.0,Новостройка,Домодедовская,8.0,Московская область,0.0,27.8,13.6,5.0,10.0,Косметический
22130,4844672.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,26.69,12.3,5.0,7.0,Косметический
22159,3950000.0,Новостройка,Домодедовская,13.0,Московская область,0.0,21.2,12.0,6.0,5.0,Косметический
22152,6039650.0,Новостройка,Кантемировская,4.0,Москва,0.0,19.9,9.8,5.0,10.0,Косметический
22169,4600000.0,Новостройка,Котельники,10.0,Московская область,0.0,26.24,16.9,8.8,16.0,Косметический
22166,3927229.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,21.31,10.7,3.8,8.0,Косметический
22165,4042154.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,21.31,10.7,3.8,16.0,Косметический
22192,4530330.0,Новостройка,Котельники,8.0,Московская область,0.0,25.79,15.6,8.8,4.0,Косметический
22190,4950198.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,26.69,12.8,4.5,9.0,Косметический
22201,4769736.0,Новостройка,Котельники,8.0,Московская область,0.0,31.66,12.9,5.0,4.0,Косметический
22194,4623537.0,Новостройка,Котельники,8.0,Московская область,0.0,23.8,14.1,8.6,5.0,Косметический
21485,4775985.0,Новостройка,Котельники,8.0,Московская область,0.0,31.33,12.6,5.0,10.0,Косметический
21477,4036507.0,Новостройка,Красногвардейская,16.0,Московская область,0.0,21.31,10.7,3.8,11.0,Косметический
21473,5238612.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,29.65,18.2,9.1,3.0,Косметический
21582,5949900.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,4.0,Косметический
21581,6106320.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,18.0,Косметический
21598,6021180.0,Новостройка,Кантемировская,20.0,Москва,0.0,19.8,9.8,5.0,6.0,Косметический
21595,4762579.0,Новостройка,Котельники,8.0,Московская область,0.0,31.24,12.6,5.0,10.0,Косметический
21590,7100000.0,Новостройка,Братиславская,18.0,Москва,0.0,19.7,9.4,5.1,15.0,Косметический
21586,5955840.0,Новостройка,Кантемировская,4.0,Москва,0.0,19.8,9.8,5.0,3.0,Косметический
21603,4634649.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.69,12.3,5.0,7.0,Косметический
21657,6874680.0,Новостройка,Кантемировская,20.0,Москва,0.0,23.6,11.6,5.9,27.0,Косметический
21650,4430682.0,Новостройка,Жулебино,13.0,Московская область,0.0,27.13,16.5,8.9,3.0,Косметический
21649,5100000.0,Новостройка,Домодедовская,13.0,Московская область,0.0,27.0,17.1,6.0,3.0,Косметический
21818,5994120.0,Новостройка,Депо,19.0,Москва,0.0,28.68,16.6,9.0,4.0,Косметический
22127,6700000.0,Новостройка,Братиславская,15.0,Москва,0.0,28.0,24.0,9.0,9.0,Косметический
22125,4890979.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,26.69,12.3,5.0,11.0,Косметический
21394,4766268.0,Новостройка,Котельники,8.0,Московская область,0.0,31.67,12.9,5.0,6.0,Косметический
21393,4291621.0,Новостройка,Котельники,8.0,Московская область,0.0,31.22,12.5,5.0,12.0,Косметический
21412,4702881.0,Новостройка,Котельники,8.0,Московская область,0.0,31.79,13.0,5.0,2.0,Косметический
21411,4706610.0,Новостройка,Котельники,8.0,Московская область,0.0,31.58,12.9,5.0,6.0,Косметический
21410,4732446.0,Новостройка,Котельники,8.0,Московская область,0.0,31.44,12.8,5.0,6.0,Косметический
21433,5172280.0,Новостройка,Жулебино,8.0,Московская область,0.0,28.0,16.3,9.0,8.0,Косметический
21432,5107200.0,Новостройка,Жулебино,8.0,Московская область,0.0,27.6,16.1,8.9,6.0,Косметический
21431,5235800.0,Новостройка,Жулебино,8.0,Московская область,0.0,28.7,16.6,9.0,4.0,Косметический
21430,5235800.0,Новостройка,Жулебино,8.0,Московская область,0.0,29.5,17.0,9.1,2.0,Косметический
21427,4378911.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,11.0,Косметический
21441,5107200.0,Новостройка,Жулебино,8.0,Московская область,0.0,27.6,16.1,8.9,15.0,Косметический
21472,5284125.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,29.65,18.2,9.1,3.0,Косметический
21468,5030854.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,29.65,18.2,9.1,3.0,Косметический
21467,5043841.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,29.65,18.2,9.1,3.0,Косметический
21488,5579040.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,4.0,Косметический
21389,4316965.0,Новостройка,Котельники,8.0,Московская область,0.0,31.22,12.5,5.0,12.0,Косметический
21388,4287602.0,Новостройка,Котельники,8.0,Московская область,0.0,31.22,12.5,5.0,12.0,Косметический
21408,4754466.0,Новостройка,Котельники,8.0,Московская область,0.0,31.73,12.9,5.0,2.0,Косметический
21407,4763250.0,Новостройка,Котельники,8.0,Московская область,0.0,31.79,13.0,5.0,2.0,Косметический
21406,4276845.0,Новостройка,Котельники,8.0,Московская область,0.0,31.11,12.4,5.0,12.0,Косметический
21405,4260186.0,Новостройка,Котельники,8.0,Московская область,0.0,31.11,12.4,5.0,12.0,Косметический
21404,4766178.0,Новостройка,Котельники,8.0,Московская область,0.0,31.81,13.0,5.0,2.0,Косметический
21403,4753033.0,Новостройка,Котельники,8.0,Московская область,0.0,31.58,12.9,5.0,6.0,Косметический
21402,4279532.0,Новостройка,Котельники,8.0,Московская область,0.0,31.13,12.5,5.0,12.0,Косметический
21401,4776426.0,Новостройка,Котельники,8.0,Московская область,0.0,31.88,13.0,5.0,2.0,Косметический
21398,4289529.0,Новостройка,Котельники,8.0,Московская область,0.0,31.11,12.4,5.0,12.0,Косметический
21396,4780234.0,Новостройка,Котельники,8.0,Московская область,0.0,31.67,12.9,5.0,6.0,Косметический
21144,4360642.0,Новостройка,Жулебино,13.0,Московская область,0.0,23.89,15.5,8.6,7.0,Косметический
21138,6399000.0,Новостройка,Депо,17.0,Москва,0.0,27.01,17.1,8.9,6.0,Косметический
21184,5344610.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,23.0,Косметический
21182,6200000.0,Новостройка,Котельники,6.0,Московская область,0.0,23.4,12.0,5.0,3.0,Косметический
21195,6700000.0,Новостройка,Братиславская,7.0,Москва,0.0,21.6,13.1,5.6,12.0,Косметический
21190,5472046.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,26.42,17.4,8.8,8.0,Косметический
21189,4344603.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,26.69,12.3,5.0,11.0,Косметический
21280,6600000.0,Новостройка,Депо,19.0,Москва,0.0,27.25,15.9,8.9,9.0,Косметический
21357,4256140.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,25.04,16.2,8.7,13.0,Косметический
21373,4746311.0,Новостройка,Котельники,8.0,Московская область,0.0,31.44,12.8,5.0,6.0,Косметический
21372,4262862.0,Новостройка,Котельники,8.0,Московская область,0.0,31.13,12.5,5.0,12.0,Косметический
21365,2849703.0,Новостройка,Красногвардейская,14.0,Московская область,0.0,23.69,14.1,8.6,13.0,Косметический
21364,4400000.0,Новостройка,Жулебино,8.0,Московская область,0.0,21.22,12.9,8.4,7.0,Косметический
21391,4275526.0,Новостройка,Котельники,8.0,Московская область,0.0,31.13,12.5,5.0,12.0,Косметический
21390,4300218.0,Новостройка,Котельники,8.0,Московская область,0.0,31.22,12.5,5.0,12.0,Косметический
20992,4300000.0,Новостройка,Домодедовская,13.0,Московская область,0.0,22.6,13.6,5.3,20.0,Косметический
20988,5630260.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,12.0,Косметический
20987,4883790.0,Новостройка,Котельники,10.0,Московская область,0.0,28.23,17.0,5.0,8.0,Косметический
20980,4883790.0,Новостройка,Котельники,10.0,Московская область,0.0,28.23,17.1,5.0,13.0,Косметический
21005,4200000.0,Новостройка,Домодедовская,13.0,Московская область,0.0,23.89,15.5,8.6,5.0,Косметический
21003,4369649.0,Новостройка,Красногвардейская,12.0,Московская область,0.0,27.13,16.5,8.9,3.0,Косметический
21015,5800000.0,Новостройка,Котельники,6.0,Московская область,0.0,28.8,13.5,7.4,14.0,Косметический
21038,2477950.0,Новостройка,Красногвардейская,13.0,Московская область,0.0,17.3,10.9,8.1,5.0,Косметический
21063,5297330.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,21.0,Косметический
21062,5307180.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,24.0,Косметический
21061,5545550.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,14.0,Косметический
21084,4100000.0,Новостройка,Домодедовская,30.0,Московская область,0.0,20.7,11.7,5.0,16.0,Косметический
21147,4149167.0,Новостройка,Жулебино,13.0,Московская область,0.0,23.89,15.5,8.6,3.0,Косметический
21146,4190187.0,Новостройка,Жулебино,13.0,Московская область,0.0,23.89,15.5,8.6,7.0,Косметический
21145,4207435.0,Новостройка,Жулебино,13.0,Московская область,0.0,23.89,15.5,8.6,7.0,Косметический
20806,4173215.0,Новостройка,Котельники,8.0,Московская область,0.0,23.58,14.1,8.6,12.0,Косметический
20805,4198816.0,Новостройка,Котельники,8.0,Московская область,0.0,23.8,14.1,8.6,12.0,Косметический
20804,4493340.0,Новостройка,Котельники,8.0,Московская область,0.0,24.83,14.9,8.7,15.0,Косметический
20803,4459952.0,Новостройка,Котельники,8.0,Московская область,0.0,24.83,14.9,8.7,11.0,Косметический
20817,4143004.0,Новостройка,Жулебино,13.0,Московская область,0.0,23.89,15.5,8.6,4.0,Косметический
20838,2797469.0,Новостройка,Красногвардейская,14.0,Московская область,0.0,23.75,14.1,8.6,3.0,Косметический
20836,5324910.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,21.0,Косметический
20835,5372190.0,Новостройка,Депо,13.0,Москва,0.0,19.7,9.4,5.1,7.0,Косметический
20834,5912500.0,Новостройка,Депо,13.0,Москва,0.0,21.5,10.2,5.6,19.0,Косметический
20853,4916984.0,Новостройка,Красногвардейская,11.0,Московская область,0.0,27.35,12.8,4.5,10.0,Косметический
20891,4755742.0,Новостройка,Битца,13.0,Московская область,0.0,31.76,18.2,9.3,8.0,Косметический
20899,4803382.0,Новостройка,Битца,13.0,Московская область,0.0,31.76,18.2,9.3,11.0,Косметический
20898,4882782.0,Новостройка,Битца,13.0,Московская область,0.0,31.76,18.2,9.3,16.0,Косметический
20919,4099270.0,Новостройка,Котельники,8.0,Московская область,0.0,26.11,16.7,8.8,9.0,Косметический
